train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.7890625,0,49,,,,,,
0.8125,0,99,,,,,,
0.859375,0,149,,,,,,
,0,187,0.2917146682739258,0.9164999723434448,,,,
,0,187,,,1.6005828380584717,0.7700833082199097,,
0.8984375,1,199,,,,,,
0.87109375,1,249,,,,,,
0.8828125,1,299,,,,,,
0.89453125,1,349,,,,,,
,1,375,0.2511557936668396,0.9278333187103271,,,,
,1,375,,,0.40472665429115295,0.8844791650772095,,
0.90625,2,399,,,,,,
0.89453125,2,449,,,,,,
0.88671875,2,499,,,,,,
0.89453125,2,549,,,,,,
,2,563,0.2199402004480362,0.9364166855812073,,,,
,2,563,,,0.35498562455177307,0.8997083306312561,,
0.91015625,3,599,,,,,,
0.89453125,3,649,,,,,,
0.92578125,3,699,,,,,,
0.90234375,3,749,,,,,,
,3,751,0.2015373557806015,0.9450833201408386,,,,
,3,751,,,0.3228393495082855,0.9076041579246521,,
0.93359375,4,799,,,,,,
0.91796875,4,849,,,,,,
0.92578125,4,899,,,,,,
,4,939,0.1847028136253357,0.9493333101272583,,,,
,4,939,,,0.2971441149711609,0.9172916412353516,,
0.91796875,5,949,,,,,,
0.90625,5,999,,,,,,
0.91796875,5,1049,,,,,,
0.90234375,5,1099,,,,,,
,5,1127,0.2414998710155487,0.9321666955947876,,,,
,5,1127,,,0.2996024191379547,0.9186875224113464,,
0.91796875,6,1149,,,,,,
0.94140625,6,1199,,,,,,
0.91015625,6,1249,,,,,,
0.9140625,6,1299,,,,,,
,6,1315,0.19865864515304565,0.9452499747276306,,,,
,6,1315,,,0.27235570549964905,0.925125002861023,,
0.9140625,7,1349,,,,,,
0.94921875,7,1399,,,,,,
0.9375,7,1449,,,,,,
0.921875,7,1499,,,,,,
,7,1503,0.16862785816192627,0.9536666870117188,,,,
,7,1503,,,0.2719925045967102,0.9248541593551636,,
0.91015625,8,1549,,,,,,
0.94140625,8,1599,,,,,,
0.94921875,8,1649,,,,,,
,8,1691,0.18544696271419525,0.9451666474342346,,,,
,8,1691,,,0.26958751678466797,0.926770806312561,,
0.9296875,9,1699,,,,,,
0.921875,9,1749,,,,,,
0.95703125,9,1799,,,,,,
0.9453125,9,1849,,,,,,
,9,1879,0.2061978578567505,0.9459166526794434,,,,
,9,1879,,,0.2585824728012085,0.929562509059906,,
0.9375,10,1899,,,,,,
0.94140625,10,1949,,,,,,
0.8984375,10,1999,,,,,,
0.94140625,10,2049,,,,,,
,10,2067,0.21162541210651398,0.934416651725769,,,,
,10,2067,,,0.2505273222923279,0.9313750267028809,,
0.9453125,11,2099,,,,,,
0.9375,11,2149,,,,,,
0.9140625,11,2199,,,,,,
0.9296875,11,2249,,,,,,
,11,2255,0.15274132788181305,0.9591666460037231,,,,
,11,2255,,,0.25572583079338074,0.9311875104904175,,
0.9453125,12,2299,,,,,,
0.953125,12,2349,,,,,,
0.93359375,12,2399,,,,,,
,12,2443,0.16215001046657562,0.956083357334137,,,,
,12,2443,,,0.23961861431598663,0.9350000023841858,,
0.96484375,13,2449,,,,,,
0.9296875,13,2499,,,,,,
0.93359375,13,2549,,,,,,
0.9453125,13,2599,,,,,,
,13,2631,0.14964093267917633,0.9579166769981384,,,,
,13,2631,,,0.23651887476444244,0.9351875185966492,,
0.9609375,14,2649,,,,,,
0.94921875,14,2699,,,,,,
0.9453125,14,2749,,,,,,
0.9296875,14,2799,,,,,,
,14,2819,0.15341705083847046,0.9593333601951599,,,,
,14,2819,,,0.2308078557252884,0.9369791746139526,,
0.921875,15,2849,,,,,,
0.9296875,15,2899,,,,,,
0.94921875,15,2949,,,,,,
0.9296875,15,2999,,,,,,
,15,3007,0.17157869040966034,0.9540833234786987,,,,
,15,3007,,,0.22778254747390747,0.93729168176651,,
0.94140625,16,3049,,,,,,
0.953125,16,3099,,,,,,
0.92578125,16,3149,,,,,,
,16,3195,0.1586439311504364,0.9578333497047424,,,,
,16,3195,,,0.2281821221113205,0.9379374980926514,,
0.94921875,17,3199,,,,,,
0.91015625,17,3249,,,,,,
0.9296875,17,3299,,,,,,
0.94921875,17,3349,,,,,,
